,date,filing_date,currency_symbol,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow
2022-12-31,2022-12-31,2023-01-31,USD,-11973000000.00,7160000000.00,-11973000000.00,-3866000000.00,-3527000000.00,-3479000000.00,12587000000.00,-1220000000.00,18144000000.00,16924000000.00,14724000000.00,0.00,3747000000.00,-4801000000.00,,-6465000000.00,-1124000000.00,541000000.00,-202000000.00,2329000000.00,7172000000,,,,,-3908000000.00,1560000000.00,738000000.00,7552000000.00
2021-12-31,2021-12-31,2022-02-07,USD,-132000000.00,5054000000.00,-7868000000.00,8865000000.00,-5203000000.00,-3014000000.00,5644000000.00,-1757000000.00,19901000000.00,18144000000.00,11497000000.00,0.00,2911000000.00,310000000.00,,-1709000000.00,-130000000.00,548000000.00,9412000000.00,2316000000.00,8014000000,130000000.00,4927000000.00,,-1574000000.00,518000000.00,2121000000.00,245000000.00,3483000000.00
2020-12-31,2020-12-31,2021-02-08,USD,-3132000000.00,2597000000.00,-3132000000.00,9467000000.00,9973000000.00,-1165000000.00,862000000.00,13118000000.00,6783000000.00,19901000000.00,5943000000.00,12269000000.00,2322000000.00,25000000.00,,-422000000.00,-652000000.00,12502000000.00,9905000000.00,2167000000.00,3242000000,-652000000.00,-1111000000.00,,12784000000.00,184000000.00,1734000000.00,408000000.00,2701000000.00
2019-12-31,2019-12-31,2020-02-13,USD,-1436000000.00,1447000000.00,-1436000000.00,798000000.00,1529000000.00,-1000000000.00,-775000000.00,2506000000.00,4277000000.00,6783000000.00,2405000000.00,848000000.00,2154000000.00,46000000.00,,-429000000.00,-367000000.00,1285000000.00,1070000000.00,1336000000.00,1437000000,,,,,-349000000.00,898000000.00,477000000.00,968000000.00
2018-12-31,2018-12-31,2019-02-19,USD,-2337428000.00,1772252000.00,-2337428000.00,5321228000.00,573755000.00,-551000000.00,-1062582000.00,311429000.00,3964959000.00,4276388000.00,2097802000.00,0.00,1901050000.00,-236704000.00,,-1023264000.00,-496732000.00,505541000.00,6675757000.00,994146000.00,2319516000,-496732000.00,-145798000.00,,334129000.00,57951000.00,749024000.00,452359000.00,-221714000.00
2017-12-31,2017-12-31,2018-02-23,USD,-4418967000.00,857000000.00,-4196000000.00,3385000000.00,4414864000.00,-1150000000.00,-2240578000.00,-25302000.00,3393216000.00,3367914000.00,-60654000.00,,1636003000.00,46000000.00,,-178850000.00,-24635000.00,1009649000.00,8278477000.00,671000000.00,4081354000,-24635000.00,-1417127000.00,39455000.00,-25302000.00,-496603000.00,466760000.00,573764000.00,-4142008000.00
2016-12-31,2016-12-31,2017-03-01,USD,-1416430000.00,1133602000.00,-1081085000.00,1718190000.00,3743976000.00,-978031000.00,-773046000.00,2196308000.00,1196908000.00,3393216000.00,-123829000.00,,947099000.00,46000000.00,,-2465703000.00,-216565000.00,2045828000.00,3946725000.00,203157000.00,1440471000,-213097000.00,-92517000.00,-7409000.00,2196308000.00,-693861000.00,334225000.00,61754000.00,-1564300000.00
2015-12-31,2015-12-31,2016-02-24,USD,16667000.00,1088261000.00,-1673551000.00,683937000.00,1523523000.00,-755740000.00,-888663000.00,-708805000.00,1905713000.00,1196908000.00,-524499000.00,,422590000.00,-38701000.00,0.00,-1573860000.00,46267000.00,839586000.00,977303000.00,362800000.00,1634850000,46267000.00,-53957000.00,-34278000.00,-708805000.00,-493289000.00,197999000.00,98436000.00,-2159349000.00
2014-12-31,2014-12-31,2015-02-26,USD,-16710000.00,1042227000.00,-990444000.00,2292092000.00,2143130000.00,352560000.00,-294040000.00,1059824000.00,845889000.00,1905713000.00,-57337000.00,,231931000.00,-3849000.00,0.00,-1050264000.00,-183658000.00,454466000.00,2189458000.00,191863000.00,969885000,-183658000.00,-65130000.00,-35525000.00,1059824000.00,-256825000.00,156496000.00,77205000.00,-1027222000.00
2013-12-31,2013-12-31,2014-02-26,USD,,628260000.00,-249417000.00,199238000.00,635422000.00,,-74014000.00,643999000.00,201890000.00,845889000.00,257994000.00,,106083000.00,14807000.00,0.00,-463270000.00,-21917000.00,253724000.00,681184000.00,85959000.00,264224000,-21917000.00,-12250000.00,,643999000.00,124995000.00,80737000.00,12754000.00,-6230000.00
2012-12-31,2012-12-31,2013-03-07,USD,25008000.00,254209000.00,-206930000.00,173254000.00,419635000.00,,-396213000.00,-53376000.00,255266000.00,201890000.00,-234861000.00,,28825000.00,7290000.00,0.00,-194726000.00,-17303000.00,24885000.00,213681000.00,56928000.00,239228000,-17303000.00,2143000.00,,-53376000.00,42819000.00,50145000.00,56000.00,-474089000.00
2011-12-31,2011-12-31,2012-02-27,USD,-24952000.00,105900000.00,-175928000.00,204007000.00,446000000.00,,-254411000.00,155708000.00,99558000.00,255266000.00,-114364000.00,,16919000.00,46920000.00,0.00,-13638000.00,-2829000.00,69583000.00,214948000.00,33997000.00,197896000,-2829000.00,-191000.00,,155708000.00,88897000.00,29419000.00,-111000.00,-312260000.00
2010-12-31,2010-12-31,2011-03-03,USD,,13133000.00,,,338045000.00,,-154328000.00,29931000.00,69627000.00,99558000.00,-127817000.00,,10623000.00,,,-20115000.00,-3222000.00,,69518000.00,,40203000,,,,,-11175000.00,21156000.00,5022000.00,-168020000.00
2009-12-31,2009-12-31,2009-12-31,USD,,,,,155419000.00,,-55740000.00,60350000.00,9277000.00,69627000.00,-80825000.00,,6940000.00,,,-7925000.00,-168000.00,,155741000.00,,11884000,,,,,-37543000.00,1434000.00,2481000.00,-92709000.00
2008-12-31,2008-12-31,2008-12-31,USD,,21621000.00,,,55068000.00,,-82782000.00,-7934000.00,17211000.00,9277000.00,-52412000.00,,4157000.00,,,-14542000.00,-3261000.00,,55238000.00,,9630000,,,,,20529000.00,437000.00,6492000.00,-62042000.00
2007-12-31,2007-12-31,2007-12-31,USD,,,,,45041000.00,,-78157000.00,-18190000.00,35401000.00,17211000.00,-53469000.00,,2895000.00,,,-2108000.00,-59000.00,,45041000.00,,9802000,,,,,19210000.00,198000.00,-36000.00,-63271000.00
